question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,answer,candidate_name,candidate_party,pct
92079,57026,2020,Ohio,383,Public Policy Polling,918,DEM,Public Policy Polling,263,Public Policy Polling,B,648,v,v,Automated Phone,U.S. President,0,,11/27/18,11/28/18,11/3/20,,TRUE,DEM,,FALSE,FALSE,12/6/18 14:41,,https://www.cleveland.com/politics/2018/11/think-sherrod-brown-should-run-for-president-you-might-like-this-2020-poll.html,general,Brown,Sherrod Brown,DEM,48
92079,57026,2020,Ohio,383,Public Policy Polling,918,DEM,Public Policy Polling,263,Public Policy Polling,B,648,v,v,Automated Phone,U.S. President,0,,11/27/18,11/28/18,11/3/20,,TRUE,DEM,,FALSE,FALSE,12/6/18 14:41,,https://www.cleveland.com/politics/2018/11/think-sherrod-brown-should-run-for-president-you-might-like-this-2020-poll.html,general,Trump,Donald Trump,REP,42
92080,57026,2020,Ohio,383,Public Policy Polling,918,DEM,Public Policy Polling,263,Public Policy Polling,B,648,v,v,Automated Phone,U.S. President,0,,11/27/18,11/28/18,11/3/20,,TRUE,DEM,,FALSE,FALSE,12/6/18 14:43,,https://www.cleveland.com/politics/2018/11/think-sherrod-brown-should-run-for-president-you-might-like-this-2020-poll.html,general,Biden,Joseph R. Biden Jr.,DEM,48
92080,57026,2020,Ohio,383,Public Policy Polling,918,DEM,Public Policy Polling,263,Public Policy Polling,B,648,v,v,Automated Phone,U.S. President,0,,11/27/18,11/28/18,11/3/20,,TRUE,DEM,,FALSE,FALSE,12/6/18 14:43,,https://www.cleveland.com/politics/2018/11/think-sherrod-brown-should-run-for-president-you-might-like-this-2020-poll.html,general,Trump,Donald Trump,REP,44
92081,57026,2020,Ohio,383,Public Policy Polling,918,DEM,Public Policy Polling,263,Public Policy Polling,B,648,v,v,Automated Phone,U.S. President,0,,11/27/18,11/28/18,11/3/20,,TRUE,DEM,,FALSE,FALSE,12/6/18 14:45,,https://www.cleveland.com/politics/2018/11/think-sherrod-brown-should-run-for-president-you-might-like-this-2020-poll.html,general,Sanders,Bernard Sanders,DEM,47
92081,57026,2020,Ohio,383,Public Policy Polling,918,DEM,Public Policy Polling,263,Public Policy Polling,B,648,v,v,Automated Phone,U.S. President,0,,11/27/18,11/28/18,11/3/20,,TRUE,DEM,,FALSE,FALSE,12/6/18 14:45,,https://www.cleveland.com/politics/2018/11/think-sherrod-brown-should-run-for-president-you-might-like-this-2020-poll.html,general,Trump,Donald Trump,REP,46
92082,57026,2020,Ohio,383,Public Policy Polling,918,DEM,Public Policy Polling,263,Public Policy Polling,B,648,v,v,Automated Phone,U.S. President,0,,11/27/18,11/28/18,11/3/20,,TRUE,DEM,,FALSE,FALSE,12/6/18 14:46,,https://www.cleveland.com/politics/2018/11/think-sherrod-brown-should-run-for-president-you-might-like-this-2020-poll.html,general,Warren,Elizabeth Warren,DEM,43
92082,57026,2020,Ohio,383,Public Policy Polling,918,DEM,Public Policy Polling,263,Public Policy Polling,B,648,v,v,Automated Phone,U.S. President,0,,11/27/18,11/28/18,11/3/20,,TRUE,DEM,,FALSE,FALSE,12/6/18 14:46,,https://www.cleveland.com/politics/2018/11/think-sherrod-brown-should-run-for-president-you-might-like-this-2020-poll.html,general,Trump,Donald Trump,REP,49
92597,57275,2020,North Carolina,383,Public Policy Polling,,,Public Policy Polling,263,Public Policy Polling,B,750,rv,rv,IVR/Online,U.S. President,0,,1/4/19,1/7/19,11/3/20,,FALSE,,,FALSE,FALSE,1/9/19 13:09,,https://www.publicpolicypolling.com/wp-content/uploads/2019/01/PPP_Release_NC_10919.pdf,general,Biden,Joseph R. Biden Jr.,DEM,49
92597,57275,2020,North Carolina,383,Public Policy Polling,,,Public Policy Polling,263,Public Policy Polling,B,750,rv,rv,IVR/Online,U.S. President,0,,1/4/19,1/7/19,11/3/20,,FALSE,,,FALSE,FALSE,1/9/19 13:09,,https://www.publicpolicypolling.com/wp-content/uploads/2019/01/PPP_Release_NC_10919.pdf,general,Trump,Donald Trump,REP,44
92598,57275,2020,North Carolina,383,Public Policy Polling,,,Public Policy Polling,263,Public Policy Polling,B,750,rv,rv,IVR/Online,U.S. President,0,,1/4/19,1/7/19,11/3/20,,FALSE,,,FALSE,FALSE,1/9/19 13:09,,https://www.publicpolicypolling.com/wp-content/uploads/2019/01/PPP_Release_NC_10919.pdf,general,Booker,Cory A. Booker,DEM,45
92598,57275,2020,North Carolina,383,Public Policy Polling,,,Public Policy Polling,263,Public Policy Polling,B,750,rv,rv,IVR/Online,U.S. President,0,,1/4/19,1/7/19,11/3/20,,FALSE,,,FALSE,FALSE,1/9/19 13:09,,https://www.publicpolicypolling.com/wp-content/uploads/2019/01/PPP_Release_NC_10919.pdf,general,Trump,Donald Trump,REP,46
92599,57275,2020,North Carolina,383,Public Policy Polling,,,Public Policy Polling,263,Public Policy Polling,B,750,rv,rv,IVR/Online,U.S. President,0,,1/4/19,1/7/19,11/3/20,,FALSE,,,FALSE,FALSE,1/9/19 13:10,,https://www.publicpolicypolling.com/wp-content/uploads/2019/01/PPP_Release_NC_10919.pdf,general,Harris,Kamala D. Harris,DEM,45
92599,57275,2020,North Carolina,383,Public Policy Polling,,,Public Policy Polling,263,Public Policy Polling,B,750,rv,rv,IVR/Online,U.S. President,0,,1/4/19,1/7/19,11/3/20,,FALSE,,,FALSE,FALSE,1/9/19 13:10,,https://www.publicpolicypolling.com/wp-content/uploads/2019/01/PPP_Release_NC_10919.pdf,general,Trump,Donald Trump,REP,45
92600,57275,2020,North Carolina,383,Public Policy Polling,,,Public Policy Polling,263,Public Policy Polling,B,750,rv,rv,IVR/Online,U.S. President,0,,1/4/19,1/7/19,11/3/20,,FALSE,,,FALSE,FALSE,1/9/19 13:10,,https://www.publicpolicypolling.com/wp-content/uploads/2019/01/PPP_Release_NC_10919.pdf,general,O'Rourke,Beto O'Rourke,DEM,45
92600,57275,2020,North Carolina,383,Public Policy Polling,,,Public Policy Polling,263,Public Policy Polling,B,750,rv,rv,IVR/Online,U.S. President,0,,1/4/19,1/7/19,11/3/20,,FALSE,,,FALSE,FALSE,1/9/19 13:10,,https://www.publicpolicypolling.com/wp-content/uploads/2019/01/PPP_Release_NC_10919.pdf,general,Trump,Donald Trump,REP,46
